Lambda,flux
3.0517578125e-05,0.9822928126022302
6.103515625e-05,0.9822576101288671
0.0001220703125,0.9821877834385435
0.000244140625,0.9820489693038061
0.00048828125,0.9817740254007257
0.0009765625,0.9812302735674632
0.001953125,0.9801599849532795
0.00390625,0.978063550373867
0.0078125,0.9739901481939357
0.015625,0.966173141474474
0.03125,0.9514747479606633
0.0625,0.9247647734455923
0.125,0.878855500034621
0.25,0.8061602581505876
0.5,0.7022007899148883
1.0,0.569133981953865
2.0,0.4196372568121649
4.0,0.2777679915925345
8.0,0.16638580349212534
16.0,0.0924593636366691
32.0,0.048975435709454604
64.0,0.02523987386943298
128.0,0.012817130338324201
256.0,0.006459074081659921
512.0,0.003242319921927928
