Lambda,flux
0,0.9925265014209055
0.1111111111111111,0.9109291145451637
0.037037037037037035,0.9594862698391651
0.012345679012345678,0.980113169756188
0.00411522633744856,0.988092503082618
0.0013717421124828531,0.9909848161102389
0.0004572473708276177,0.9919983119920595
0.00015241579027587258,0.992347160410303
5.080526342529086e-05,0.9924659874446
1.6935087808430286e-05,0.9925061373621971
5.645029269476762e-06,0.992519699769985
1.8816764231589208e-06,0.9925242350647756
6.272254743863069e-07,0.9925257167674714
2.0907515812876897e-07,0.9925262516682896
6.969171937625632e-08,0.9925264836195101
2.3230573125418773e-08,0.9925265207986405
7.743524375139592e-09,0.9925264950964937
2.581174791713197e-09,0.9925265386837883
8.603915972377324e-10,0.9925265441821365
