Lambda,flux
0,0.9923057457857123
3.0517578125e-05,0.9922666252950363
6.103515625e-05,0.9922283862653637
0.0001220703125,0.9921532163951408
0.000244140625,0.9920064515331797
0.00048828125,0.9917217312951281
0.0009765625,0.99117433709677
0.001953125,0.9901375134549952
0.00390625,0.9882161471819767
0.0078125,0.984758248127078
0.015625,0.9787142905097821
0.03125,0.9683429414736939
0.0625,0.9507084255549945
0.125,0.9211172045770859
0.25,0.8726478104327529
0.5,0.7966198593982354
1.0,0.6861252979365642
2.0,0.5434482661402238
4.0,0.38719393325476803
8.0,0.24696112905048895
16.0,0.1434773463320303
32.0,0.07810438947832699
64.0,0.040872036486487864
128.0,0.020924465852164356
256.0,0.010588896807065398
512.0,0.005326708643303923
0.008000000000000002,0.9846016721627151
2.7439999999999993,0.4721131223781898
