Lambda,flux,DL_p/Lambda
0.0009765625,0.9784260399923634,3236.345679012345
0.001953125,0.9773269151938401,1618.1728395061725
0.00390625,0.9753077611664587,809.0864197530863
0.0078125,0.9717322867127277,404.54320987654313
0.015625,0.9656441781116109,202.27160493827157
0.03125,0.9555546770191583,101.13580246913578
0.0625,0.9390324533665397,50.56790123456789
0.125,0.9121637603624736,25.283950617283946
0.25,0.8690335143436897,12.641975308641973
0.5,0.801728543785135,6.320987654320986
1.0,0.7023416707583778,3.160493827160493
2.0,0.5692868871572041,1.5802469135802466
4.0,0.41637038926430386,0.7901234567901233
8.0,0.2720878828186297,0.39506172839506165
16.0,0.16100121765968992,0.19753086419753083
32.0,0.08868282593984708,0.09876543209876541
64.0,0.0467237508113184,0.049382716049382706
128.0,0.02400783852635997,0.024691358024691353
256.0,0.012172346844131522,0.012345679012345677
512.0,0.006129177339562289,0.006172839506172838
