Lambda,flux,DL_p/Lambda
0.012345679012345678,0.968074193802437,255.99999999999997
0.00411522633744856,0.9751061661701609,767.9999999999998
0.0013717421124828531,0.9779807696934937,2303.9999999999995
0.0004572473708276177,0.979061162043889,6911.999999999999
0.00015241579027587258,0.9794507573084632,20735.999999999996
5.080526342529086e-05,0.9795907537985342,62207.99999999999
1.6935087808430286e-05,0.9796425015129705,186623.99999999997
5.645029269476762e-06,0.9796629540992481,559871.9999999999
1.8816764231589208e-06,0.9796714962740748,1679615.9999999995
6.272254743863069e-07,0.9796755872024631,5038847.999999999
2.0907515812876897e-07,0.979677229071313,15116543.999999998
6.969171937625632e-08,0.9796779271812209,45349631.99999999
2.3230573125418773e-08,0.9796781879134984,136048895.99999997
7.743524375139592e-09,0.9796782792129277,408146687.99999994
2.581174791713197e-09,0.9796783102099297,1224440063.9999998
8.603915972377324e-10,0.9796783206075251,3673320191.9999995
