Lambda,flux
0,0.9796154019639317
3.0517578125e-05,0.9795750780302911
6.103515625e-05,0.9795353003438785
0.0001220703125,0.9794567327960628
0.000244140625,0.979302371186397
0.00048828125,0.9790014522097754
0.0009765625,0.9784216801547444
0.001953125,0.9773247912962759
0.00390625,0.975306552462545
0.0078125,0.9717312413313876
0.015625,0.9656427881899525
0.03125,0.9555523559646177
0.0625,0.9390290942131201
0.125,0.9121603887688483
0.25,0.8690302321708867
0.5,0.8017257397748166
1.0,0.7023395579133384
2.0,0.5692855035495659
4.0,0.4163695277869552
8.0,0.27208752302622324
16.0,0.16100104830404793
32.0,0.08868291226328175
64.0,0.046723674147669994
128.0,0.024007823572213104
256.0,0.012172347508041536
512.0,0.006129194070439874
0.012345679012345677,0.9680714642268279
3.160493827160493,0.46895160146773784
