Lambda,flux
0.00411522633744856,0.9753033360349773
0.0013717421124828531,0.9778396646962234
0.0004572473708276177,0.978871364322471
0.00015241579027587258,0.9792559728037407
5.080526342529086e-05,0.9793920972220335
1.6935087808430286e-05,0.979439021801329
5.645029269476762e-06,0.9794549639456331
1.8816764231589208e-06,0.9794603571809298
6.272254743863069e-07,0.9794621814429401
2.0907515812876897e-07,0.9794627852296464
6.969171937625632e-08,0.9794629861460005
2.3230573125418773e-08,0.9794630526728441
7.743524375139592e-09,0.979463075108972
2.581174791713197e-09,0.9794630825885895
8.603915972377324e-10,0.9794630850818462
