Lambda,flux,DL_p/Lambda
0.2,0.9113012585583778,15.068587105624141
0.5,0.831141635115619,6.027434842249657
1.0,0.7265556304606722,3.0137174211248285
1.5,0.6484143639342628,2.0091449474165524
2.0,0.5870003178759751,1.5068587105624143
2.5,0.5370286627445855,1.2054869684499314
5.0,0.3794700846381288,0.6027434842249657
10.0,0.24082975063480777,0.30137174211248285
15.0,0.17667784481624899,0.20091449474165524
20.0,0.13956892179284133,0.15068587105624143
50.0,0.06180015403096666,0.06027434842249657
100.0,0.03205105123570999,0.030137174211248285
200.0,0.016330536712760975,0.015068587105624143
400.0,0.008243815536030768,0.007534293552812071
600.0,0.00551356525710532,0.005022862368541381
800.0,0.004141848412943637,0.0037671467764060357
1000.0,0.003316686358871598,0.0030137174211248285
