Lambda,flux,DL_p/Lambda
0.001,0.9045180164081732,3013.7174211248284
0.002,0.9112027479382583,1506.8587105624142
0.005,0.9210498560650494,602.7434842249656
0.01,0.9288343607574777,301.3717421124828
0.02,0.9362522153482314,150.6858710562414
0.05,0.9420184692219418,60.274348422496566
0.08,0.9396969892582772,37.67146776406035
0.1,0.9362731832123444,30.137174211248283
0.2,0.9113012585583765,15.068587105624141
0.4,0.8565121060538552,7.534293552812071
0.8,0.7644451124658528,3.7671467764060353
1.0,0.7265556304606728,3.0137174211248285
