Lambda,flux
0.1111111111111111,0.906460193118297
0.037037037037037035,0.9609657477619115
0.012345679012345678,0.9830017912484511
0.00411522633744856,0.9910753150612039
0.0013717421124828531,0.993917012690523
0.0004572473708276177,0.9949059031501791
0.00015241579027587258,0.9952493894483408
5.080526342529086e-05,0.9953678208854525
1.6935087808430286e-05,0.995407853456924
5.645029269476762e-06,0.9954208770823855
1.8816764231589208e-06,0.99542581028796
6.272254743863069e-07,0.995427293719864
2.0907515812876897e-07,0.9954277934043353
6.969171937625632e-08,0.9954279599828169
2.3230573125418773e-08,0.9954280155107974
7.743524375139592e-09,0.9954280340203329
2.581174791713197e-09,0.9954280401902029
8.603915972377324e-10,0.9954280422468266
