Lambda,flux
0,0.998045174
3.05E-05,0.998011581
6.10E-05,0.997978066
0.00012207,0.997912107
0.000244141,0.997781805
0.000488281,0.997525952
0.000976563,0.997021553
0.001953125,0.996034162
0.00390625,0.994114996
0.0078125,0.990431136
0.015625,0.983503073
0.03125,0.970822656
0.0625,0.948310391
0.125,0.90965044
0.25,0.846263444
0.5,0.749609809
1,0.617609876
2,0.462739192
4,0.311480442
8,0.189520213
16,0.106569486
32,0.056877202
64,0.029438587
128,0.014983836
256,0.007559978
512,0.003797258
1024,0.001902978
2048,0.00095258
4096,0.000476563
8192,0.00023835
