Lambda,flux
0,0.9980451738723389
3.0517578125e-05,0.9980115809438781
6.103515625e-05,0.997978065630053
0.0001220703125,0.9979121069307079
0.000244140625,0.9977818049227252
0.00048828125,0.9975259524108439
0.0009765625,0.9970215529735073
0.001953125,0.9960341624790336
0.00390625,0.9941149962293055
0.0078125,0.9904311359405081
0.015625,0.983503072690349
0.03125,0.970822656414733
0.0625,0.9483103912124835
0.125,0.9096504401731256
0.25,0.8462634441072446
0.5,0.7496098087884029
1.0,0.6176098759652254
2.0,0.4627391922597523
4.0,0.31148044207535835
8.0,0.18952021250204318
16.0,0.10656948571661397
32.0,0.0568772018273076
64.0,0.029438586775437998
128.0,0.014983836327604546
256.0,0.007559978166852321
0.015625,0.9835029298657995
3.375,0.3466348951261092
