point,alpha,c
[0.99916667 0.        ],0.9999293541487003,0.00016883391200331772
[0.9975 0.    ],0.9996570246905043,0.0005060221797568768
[0.99583333 0.        ],0.9997351337327383,0.0008436368295726727
[0.99416667 0.        ],0.9997782714455027,0.0011812856094542505
[0.9925 0.    ],0.9998175277763673,0.001519007903363688
[0.99083333 0.        ],0.9998395519118939,0.0018567257439850158
[0.98916667 0.        ],0.9998529572599624,0.0021943895158109145
[0.9875 0.    ],0.9998617326542323,0.0025320214469514166
[0.98583333 0.        ],0.9998679628560665,0.0028696490834553313
[0.98416667 0.        ],0.9998728310154631,0.0032072779508590704
[0.9825 0.    ],0.9998770483487984,0.003544913274052463
[0.98083333 0.        ],0.999881059655527,0.00388255998417392
[0.97916667 0.        ],0.9998789034922232,0.0042200734386579584
[0.9775 0.    ],0.9998761654488572,0.004557561564440652
[0.97583333 0.        ],0.9998735523665199,0.004895039875413882
[0.97416667 0.        ],0.9998710843167008,0.005232509062043859
[0.9725 0.    ],0.9998687711215742,0.005569969767478786
[0.97083333 0.        ],0.9998666153961894,0.005907422590905237
[0.96916667 0.        ],0.9998646146039899,0.006244868090901108
[0.9675 0.    ],0.9998627624797904,0.006582306788784706
[0.96583333 0.        ],0.9998610500363005,0.006919739171963078
[0.96416667 0.        ],0.9998594662897217,0.00725716569727845
[0.9625 0.    ],0.9998579987918967,0.007594586794354814
[0.96083333 0.        ],0.9998563261329784,0.007931990731611162
[0.95916667 0.        ],0.9998539062042858,0.008269354653364999
[0.9575 0.    ],0.9998513518927521,0.008606701573719334
[0.95583333 0.        ],0.999848644351716,0.008944030638187985
[0.95416667 0.        ],0.9998457674764335,0.00928134109416554
[0.9525 0.    ],0.9998427074232843,0.009618632290932388
[0.95083333 0.        ],0.9998394522268041,0.009955903679660205
[0.94916667 0.        ],0.9998359914920907,0.010293154813417697
[0.9475 0.    ],0.9998323161458308,0.010630385347176172
[0.94583333 0.        ],0.9998284182333323,0.010967595037815575
[0.94416667 0.        ],0.9998242907519509,0.011304783744130728
[0.9425 0.    ],0.9998199275135137,0.011641951426837315
[0.94083333 0.        ],0.9998153230300316,0.011979098148577939
[0.93916667 0.        ],0.9998104724182465,0.012316224073928742
[0.9375 0.    ],0.9998053713194713,0.012653329469405589
[0.93583333 0.        ],0.9998000158319623,0.012990414703470194
[0.93416667 0.        ],0.9997944024536001,0.013327480246536797
[0.9325 0.    ],0.9997885280330884,0.013664526670978276
[0.93083333 0.        ],0.999782389728255,0.014001554651133081
[0.92916667 0.        ],0.9997759849702439,0.014338564963310726
[0.9275 0.    ],0.9997693114327136,0.014675558485799331
[0.92583333 0.        ],0.9997623670051843,0.01501253619887115
[0.92416667 0.        ],0.9997551497699515,0.015349499184789587
[0.9225 0.    ],0.9997476579819968,0.01568644862781522
[0.92083333 0.        ],0.9997398900514715,0.016023385814212674
[0.91916667 0.        ],0.9997318445283683,0.01636031213225682
[0.9175 0.    ],0.9997235200890767,0.016697229072238924
[0.91583333 0.        ],0.9997149155245785,0.017034138226473882
[0.91416667 0.        ],0.9997060297300187,0.017371041289305802
[0.9125 0.    ],0.9996968616955155,0.017707940057114877
[0.91083333 0.        ],0.9996874104980152,0.018044836428323704
[0.90916667 0.        ],0.9996776752940716,0.018381732403403555
[0.9075 0.    ],0.9996676553134284,0.018718630084880998
[0.90583333 0.        ],0.9996573498533081,0.019055531677344063
[0.90416667 0.        ],0.9996467582733183,0.019392439487448766
[0.9025 0.    ],0.9996357849379048,0.019729346603865345
[0.90083333 0.        ],0.9996244634734578,0.02006625846607241
[0.89916667 0.        ],0.9996128339388547,0.020403181491542126
[0.8975 0.    ],0.9996008991384814,0.02074011862651297
[0.89583333 0.        ],0.9995886624391873,0.021077072995296462
[0.89416667 0.        ],0.9995761277283536,0.021414047900443087
[0.8925 0.    ],0.9995632993758373,0.02175104682290544
[0.89083333 0.        ],0.9995501821994168,0.022088073422203147
[0.88916667 0.        ],0.9995367814333312,0.022425131536585097
[0.8875 0.    ],0.999523102699602,0.02276222518319147
[0.88583333 0.        ],0.9995091519818573,0.023099358558215075
[0.88416667 0.        ],0.9994949587718759,0.023436539112251825
[0.8825 0.    ],0.9994807299170517,0.023773798487146197
[0.88083333 0.        ],0.9994662776103215,0.024111116107489058
[0.87916667 0.        ],0.9994516238361605,0.024448499097239115
[0.8775 0.    ],0.999436791068525,0.024785954905409958
[0.87583333 0.        ],0.9994218022402013,0.025123491306356414
[0.87416667 0.        ],0.999406680714466,0.025461120138754633
[0.8725 0.    ],0.9993914502588468,0.02579885680361643
[0.87083333 0.        ],0.9993761350207678,0.026136703595242963
[0.86916667 0.        ],0.9993608428606725,0.02647467767038459
[0.8675 0.    ],0.9993455117422287,0.026812783730874725
[0.86583333 0.        ],0.9993335584908515,0.027151374848256006
[0.86416667 0.        ],0.99931890134029,0.027489813617469355
[0.8625 0.    ],0.9992996124042811,0.02782797034369395
[0.86083333 0.        ],0.9992793064650574,0.028166206953963806
[0.85916667 0.        ],0.9992632899871303,0.028505064237859888
[0.8575 0.    ],0.9992451414954374,0.028843897007778393
[0.85583333 0.        ],0.9992278866543279,0.029182965210580978
[0.85416667 0.        ],0.9992085134256783,0.02952202552831173
[0.8525 0.    ],0.9991872210744533,0.02986110013510411
[0.85083333 0.        ],0.999164295333766,0.03020021972879407
[0.84916667 0.        ],0.9991399861869783,0.030539388985598357
[0.8475 0.    ],0.9991145103634451,0.03087864799638365
[0.84583333 0.        ],0.9990880536756177,0.03121806328628067
[0.84416667 0.        ],0.999060773208929,0.03155765722758692
[0.8425 0.    ],0.999032799375026,0.03189745088247138
[0.84083333 0.        ],0.9990042378380571,0.0322374640921211
[0.83916667 0.        ],0.9989751713230122,0.0325777155659605
[0.8375 0.    ],0.9989456613144239,0.03291822297090654
[0.83583333 0.        ],0.9989157496530943,0.03325900302063187
[0.83416667 0.        ],0.9988854423051263,0.03360006819068556
[0.8325 0.    ],0.9988548754433699,0.03394145828697515
[0.83083333 0.        ],0.9988241023023693,0.03428320031695341
[0.82916667 0.        ],0.9987930477804686,0.03462529877940033
[0.8275 0.    ],0.9987616284350495,0.034967758174830145
[0.82583333 0.        ],0.9987297531451301,0.035310583047547785
[0.82416667 0.        ],0.9986973237380131,0.03565377802773033
[0.8225 0.    ],0.9986642355825458,0.03599734787355613
[0.82083333 0.        ],0.9986303781513168,0.0363412975133941
[0.81916667 0.        ],0.9985956355540119,0.036685632088073836
[0.8175 0.    ],0.9985598870439436,0.03703035699325044
[0.81583333 0.        ],0.9985230074996327,0.037375477921876
[0.81416667 0.        ],0.9984848678832008,0.03772100090679264
[0.8125 0.    ],0.9984453356772028,0.03806693236345911
[0.81083333 0.        ],0.9984042753013813,0.03841327913281696
[0.80916667 0.        ],0.9983615485107763,0.03876004852431114
[0.8075 0.    ],0.9983170147764557,0.03910724835906729
[0.80583333 0.        ],0.9982705316500983,0.03945488701323721
[0.80416667 0.        ],0.9982219632139133,0.039802975063879135
[0.8025 0.    ],0.9981711154360031,0.0401515124363048
[0.80083333 0.        ],0.9981177780123239,0.04050049631189773
[0.79916667 0.        ],0.9980618437911056,0.04084994521980055
[0.7975 0.    ],0.9980032100635874,0.04119987970928347
[0.79583333 0.        ],0.9979417784426577,0.04155032235177626
[0.79416667 0.        ],0.997877483919645,0.041901303817205145
[0.7925 0.    ],0.9978101154728937,0.04225282548260316
[0.79083333 0.        ],0.9977394941951011,0.04260489585844701
[0.78916667 0.        ],0.9976654752917314,0.042957531279210176
[0.7875 0.    ],0.9975879186433528,0.0433107498488725
[0.78583333 0.        ],0.9975066892264524,0.043664571555830645
[0.78416667 0.        ],0.9974216575171555,0.04401901838778608
[0.7825 0.    ],0.9973326998785955,0.04437411444658173
[0.78083333 0.        ],0.9972396989326012,0.04472988606295758
[0.77916667 0.        ],0.997142543916314,0.045086361911193314
[0.7775 0.    ],0.9970411310242507,0.04544357312360344
