Lambda,flux
0,0.9812944376465385
0.11111111111111109,0.8944552821707475
0.1285678041425244,0.8839646471907471
0.14876712235827466,0.8724182144214652
0.17213996025185063,0.8597403743253899
0.1991849102528568,0.8458547284376327
0.23047889876582042,0.830685625258873
0.26668949323957847,0.8141602574348262
0.3085891428032569,0.7962113694571678
0.3570716562519477,0.7767805927936575
0.413171268892625,0.7558223857379731
0.4780847049867477,0.7333085041079568
0.5531967064284549,0.7092328622509925
0.6401095722394485,0.683616556903077
0.7406773390209285,0.656512721879766
0.85704533150444,0.6280107712860997
0.9916959268991501,0.5982394963263081
1.1475015092865823,0.5673684378318753
1.3277857436928762,0.5356069969041817
1.536394476945077,0.5032008919188736
1.7777777777777777,0.4704258230723307
