Lambda,flux
0,9.779555321840864
3.0517578125e-05,9.778441652963046
6.103515625e-05,9.776751237012911
0.0001220703125,9.774595527684788
0.000244140625,9.769554933638428
0.00048828125,9.76006295760201
0.0009765625,9.741832014517787
0.001953125,9.708179676057174
0.00390625,9.64824583866073
0.0078125,9.547330971785808
0.015625,9.387482843394864
0.03125,9.145684146434997
0.0625,8.787246310297103
0.125,8.259497678445378
0.25,7.494491944962322
0.5,6.431618458963079
1.0,5.081329028576823
2.0,3.609184858744874
4.0,2.2937578868605017
8.0,1.328456136988474
16.0,0.7216128946502238
32.0,0.3771410729394363
64.0,0.19294319206176505
128.0,0.09760395896630183
256.0,0.04909018909425156
512.0,0.02461774650683984
0.012345679012345677,9.449657641502887
3.160493827160493,2.707330308642613
